epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5932.16,0.79974,0.77688,1.15319,0.9189,0.82573,0.89018,0.70569,0.74082,0.6162,1.1409,0.002179,0.002179,0.002179
81,6132.91,0.79696,0.76884,1.14602,0.90986,0.82854,0.89209,0.70923,0.73788,0.60251,1.14117,0.00208,0.00208,0.00208
82,6330.17,0.79742,0.77197,1.14695,0.90384,0.83298,0.89011,0.70685,0.73188,0.61422,1.12823,0.001981,0.001981,0.001981
83,6525.4,0.78967,0.75351,1.14348,0.90402,0.84004,0.88787,0.70155,0.73798,0.61945,1.13532,0.001882,0.001882,0.001882
84,6723.88,0.78278,0.76184,1.1409,0.90527,0.84004,0.89049,0.70346,0.73796,0.62319,1.13707,0.001783,0.001783,0.001783
85,6922.32,0.77573,0.75032,1.13593,0.90736,0.83839,0.89065,0.70585,0.73195,0.61487,1.13371,0.001684,0.001684,0.001684
86,7119.94,0.78368,0.74692,1.13795,0.90266,0.83068,0.88901,0.70562,0.7343,0.61589,1.138,0.001585,0.001585,0.001585
87,7311.28,0.77301,0.73763,1.12932,0.90096,0.84098,0.89123,0.70841,0.73659,0.61461,1.1397,0.001486,0.001486,0.001486
88,7506.2,0.77507,0.74228,1.13519,0.92465,0.82177,0.88993,0.70817,0.73451,0.61374,1.13476,0.001387,0.001387,0.001387
89,7702.12,0.7834,0.73423,1.1398,0.92521,0.82519,0.88901,0.7093,0.73671,0.61504,1.13504,0.001288,0.001288,0.001288
90,7899.24,0.76562,0.71817,1.13049,0.92411,0.82535,0.88789,0.70892,0.74241,0.61971,1.1417,0.001189,0.001189,0.001189
91,8093.81,0.65127,0.53934,1.05565,0.91856,0.83775,0.89065,0.70781,0.73686,0.60983,1.13855,0.00109,0.00109,0.00109
92,8282.61,0.63847,0.4982,1.04383,0.91205,0.84281,0.89037,0.70808,0.73166,0.61204,1.13343,0.000991,0.000991,0.000991
93,8467.13,0.63269,0.48826,1.03954,0.90802,0.84741,0.89119,0.70772,0.73268,0.6129,1.13521,0.000892,0.000892,0.000892
94,8657.82,0.6305,0.48237,1.03834,0.90364,0.84535,0.88957,0.70757,0.73376,0.61368,1.13602,0.000793,0.000793,0.000793
95,8850.84,0.62998,0.4762,1.03796,0.90357,0.85442,0.89071,0.70828,0.73245,0.61422,1.13404,0.000694,0.000694,0.000694
96,9037.16,0.61831,0.47173,1.03376,0.90054,0.8526,0.8906,0.70449,0.73392,0.61652,1.13677,0.000595,0.000595,0.000595
97,9228.86,0.61715,0.46427,1.0336,0.90374,0.84765,0.89226,0.70691,0.7345,0.61936,1.13907,0.000496,0.000496,0.000496
98,9418.93,0.61418,0.45739,1.0275,0.90647,0.84814,0.89076,0.70729,0.73971,0.61352,1.14542,0.000397,0.000397,0.000397
99,9613.54,0.60604,0.45015,1.02034,0.90793,0.84724,0.89023,0.70613,0.7421,0.60997,1.14847,0.000298,0.000298,0.000298
100,9804.8,0.60972,0.45082,1.02351,0.90414,0.84283,0.89095,0.70464,0.74413,0.6094,1.15063,0.000199,0.000199,0.000199
